Subject,Business Scenario,Environment,Test Phase,Test Type,Test Case id,Test Case Description,Test Objective,Pre - Condition,Test Data,Description (design steps),Expected Result,Actual Result,Priority
Functional Testing\OOB\0025,Production of transactions reports based on user activity,T24Qa1,Functional Testing,Positive,OOB_0025_01_Step 1,"Verify Transaction log query by teller, tran code, tran type.",Ensure user are linked to source transactions,Users/Transaction type/codes  defined ,"Teller ID =
Trx code=
Trx type=","Transaction log query by teller, tran code, tran type.",System should display report based on defined parameters,0.0,0.0
Functional Testing\OOB\0036,"Allow the creation, access and modification of accounts under various LBC's related financial institution numbers",T24Qa1,Functional Testing,Positive,OOB_0036_01_Step 1,Verify if account can be created and accessed under different lead companies,Ensure accounts can be created and accessed under different lead companies,"MCMB, CIF, Arrangement setup","CIF ID=
CUR=",Create a Deposit Arrangement under different lead companies,System should allow to create and access account,0.0,0.0
Functional Testing\OOB\0036,"Allow the creation, access and modification of accounts under various LBC's related financial institution numbers",T24Qa1,Functional Testing,Positive,OOB_0036_02_Step 1,Verify functionality to change lead company of the transaction being processed,Ensure functionality to change lead company of transaction being processed is working,"MCMB, CIF, Arrangement setup, Transaction codes defined for products","CIF ID=
Transaction Type =
Transaction Code =",Update Dep Arrangment with a fin transaction - validate the lead company change of the transaction being processed,System should allow to change company,0.0,0.0
Functional Testing\OOB\0037,"Allow the creation, access and modification of accounts under various transit numbers ",T24Qa1,Functional Testing,Positive,OOB_0037_01_Step 1,Verify if account can be created and accessed under different branches,Ensure accounts can be created and accessed under different branches,"MCMB, CIF, Arrangement setup","CIF ID=
CUR=",Create a Deposit Arrangement under different branchess,System should allow account to be created and accessed,0.0,0.0
Functional Testing\OOB\0037,"Allow the creation, access and modification of accounts under various transit numbers ",T24Qa1,Functional Testing,Positive,OOB_0037_02_Step 1,Verify functionality to change a branch of the transaction being processed,Ensure functionality to change a branch of transaction being processed is working,"MCMB, CIF, Arrangement setup, Transaction codes defined for products","CIF ID=
Transaction Type =
Transaction Code =",Update Dep Arrangment with a fin transaction - validate the branch change of the transaction being processed,System should allow to change branch,0.0,0.0
Functional Testing\OOB\0038,Ability to define soft and hard warnings on parametrized fields,T24Qa1,Functional Testing,Positive,OOB_0038_01_Step 1,Verify override warning on specified field,Ensure defined fields respond to warnings set,"CIF, Arrangement setup -Configuration. Parametrized Field  added","CIF ID=
AA ID=",Modify field and commit - ,System should give warning,0.0,0.0
Functional Testing\OOB\0038,Ability to define soft and hard warnings on parametrized fields,T24Qa1,Functional Testing,Positive,OOB_0038_02_Step 1,Verify blocking error warning on specified field,Ensure defined fields respond to warnings set,"CIF, Arrangement setup -Configuration. Parametrized Field  added","CIF ID=
AA ID=",Modify field and commit - ,System should not allow until resolved,0.0,0.0
Functional Testing\OOB\0040,"Manage manual and batch assignment of accounts or accounts portfolio between branches, distributor and account managers",T24Qa1,Functional Testing,Positive,OOB_0040_01_Step 1,Verify if an account can be re-assigned to a different branch manually,Ensure an account can be re-assigned to a different branch manually,"MCMB, CIF, Arrangement, DAO setup -","CIF ID=
AA ID=","EB.COMPANY.CHANGE, DAO",System should allow account move to a different branch,0.0,0.0
Functional Testing\OOB\0040,"Manage manual and batch assignment of accounts or accounts portfolio between branches, distributor and account managers",T24Qa1,Functional Testing,Positive,OOB_0040_02_Step 1,Verify if a group of accounts can be re-assigned to a different branch in batch,Ensure that a group of accounts can be transferred in batch to another branch,"MCMB, CIF, Arrangement, DAO setup -","CIF ID=
AA ID=","EB.COMPANY.CHANGE, DAO",System should allow account move to a different branch,0.0,0.0
Functional Testing\OOB\0040,"Manage manual and batch assignment of accounts or accounts portfolio between branches, distributor and account managers",T24Qa1,Functional Testing,Positive,OOB_0040_03_Step 1,Verify if an account can be re-assigned to a different broker group,Ensure an account can be re-assigned to a different broker,"MCMB, CIF, Arrangement, DAO, Broker Module setup -","CIF ID=
AA ID=","Broker Module, DAO   ",System should allow account move to a different broker,0.0,0.0
Functional Testing\OOB\0040,"Manage manual and batch assignment of accounts or accounts portfolio between branches, distributor and account managers",T24Qa1,Functional Testing,Positive,OOB_0040_04_Step 1,Verify if a group of accounts can be re-assigned to a different broker group in batch,Ensure an account can be re-assigned to a different broker group in batch,"MCMB, CIF, Arrangement, Broker Module, DAO setup -","CIF ID=
AA ID=","Broker Module, DAO",System should allow accounts batch move to a different Broker group,0.0,0.0
Functional Testing\OOB\0040,"Manage manual and batch assignment of accounts or accounts portfolio between branches, distributor and account managers",T24Qa2,Functional Testing,Positive,OOB_0040_05_Step 1,Verify if an account can be re-assigned to a different Account Officer,Ensure Account Officer can be linked to client Account,"MCMB, CIF, Arrangement, DAO setup -","CIF ID=
AA ID=",DAO,System should allow account move to a different DAO,0.0,0.0
Functional Testing\OOB\0040,"Manage manual and batch assignment of accounts or accounts portfolio between branches, distributor and account managers",T24Qa2,Functional Testing,Positive,OOB_0040_06_Step 1,Verify if a group of accounts can be re-assigned to a different Account Officer,Ensure that a group of accounts can be linked in batch to another Account Officer,"MCMB, CIF, Arrangement, DAO setup -","CIF ID=
AA ID=", DAO,System should allow accounts batch move to a different DAO,0.0,0.0
Functional Testing\OOB\0041,Allow the association of account managers or financial advisors to an account,T24Qa1,Functional Testing,Positive,OOB_0041_01_Step 1,Link Account Officer(s) to an Account,Ensure Account Officer(s) can be linked to client Account,"CIF, Arrangement, DAO setup -","CIF ID=
AA ID=", link DAO on Account versions,System should record associated DAO to account,0.0,0.0
Functional Testing\OOB\0044,"Allow to manage multiple calendars at an institution, transit",T24Qa1,Functional Testing,Positive,OOB_0044_01_Step 1,Validate that multiple calendars are available to Deposit product in B2B Lead company,Ensure multiple calendars are configured for product,"MCMB, Holiday table, Product Builder","CIF ID=
AA ID=",Log on to B2B Lead Company - validate Deposit Product Configuration - linked to defined holiday table,System should allow multiple calendars ,0.0,0.0
Functional Testing\OOB\0044,"Allow to manage multiple calendars at an institution, transit",T24Qa1,Functional Testing,Positive,OOB_0044_02_Step 1,Validate that multiple calendars are available to loan product in LBC Lead company,Ensure multiple calendars are configured for product,"MCMB, Holiday table, Product Builder","CIF ID=
AA ID=",Log on to LBC Lead Company - validate Comm Loan Product Configuration - linked to defined holiday table,System should allow multiple calendars ,0.0,0.0
Functional Testing\OOB\0044,"Allow to manage multiple calendars at an institution, transit",T24Qa1,Functional Testing,Positive,OOB_0044_03_Step 1,Validate that multiple calendars are available to loan product in B2B branch company,Ensure multiple calendars are configured for product,"MCMB, Holiday table, Product Builder","CIF ID=
AA ID=",Log on to B2B Branch Company - validate Loan Product Configuration - linked to defined holiday table,System should allow multiple calendars ,0.0,0.0
Functional Testing\OOB\0044,"Allow to manage multiple calendars at an institution, transit",T24Qa1,Functional Testing,Positive,OOB_0044_04_Step 1,Validate that multiple calendars are available to Dep product in LBC branch company,Ensure multiple calendars are configured for product,"MCMB, Holiday table, Product Builder","CIF ID=
AA ID=",Log on to LBC Branch Company - validate Dep Product Configuration - linked to defined holiday table,System should allow multiple calendars ,0.0,0.0
Functional Testing\OOB\0045,Define various types of financial transactions for manual (user) and automatic (system based) based on pre-defined parameters ,T24Qa1,Functional Testing,Positive,OOB_0045_01_Step 1,Validate that transaction types are labeled for user ,Ensure Users are linked to source transactions,Transaction types defined. Internal Accounts set up,"Teller ID =
Trx code=
Trx type=","Transaction log query by teller, tran code, tran type.",System should have labeled transaction types,0.0,0.0
Functional Testing\OOB\0045,Define various types of financial transactions for manual (user) and automatic (system based) based on pre-defined parameters ,T24Qa1,Functional Testing,Positive,OOB_0045_02_Step 1,Validate that business rules guide transaction types,Ensure transactions based on business rules,Transaction types defined. Internal Accounts set up,"Teller ID =
Trx code=
Trx type=","Transaction log query by teller, tran code, tran type.",System should link transaction types to codes,0.0,0.0
Functional Testing\OOB\0045,Define various types of financial transactions for manual (user) and automatic (system based) based on pre-defined parameters ,T24Qa1,Functional Testing,Positive,OOB_0045_03_Step 1,Validate that auto link of transactions to GL,Ensure financial transactions are auto linked to GL,Transaction types defined. Internal Accounts set up,"Teller ID =
Trx code=
Trx type=","Transaction log query by teller, tran code, tran type.",System should validate link of Transactions to GL,0.0,0.0
Functional Testing\OOB\0046,"Parameterize different transaction types and labels for client display (e.g. ATM, web, etc.) and outputs (e.g. statement, etc.).",T24Qa1,Functional Testing,Positive,OOB_0046_01_Step 1,Validate that transaction types are labeled for client online display,Ensure transactions types are displayed for clients online,"Transaction types defined.
Arrangment setup","CIF ID=
AA ID=",T24 Enquiry ENQ STMT.ENT.BOOK can be checked ,System should validate link of Transactions to Client dsplay,0.0,0.0
Functional Testing\OOB\0046,"Parameterize different transaction types and labels for client display (e.g. ATM, web, etc.) and outputs (e.g. statement, etc.).",T24Qa1,Functional Testing,Positive,OOB_0046_02_Step 1,Validate that transaction types are labeled for client statement output,Ensure transactions types are identified and produced for clients,"Transaction types defined.
Arrangment setup","CIF ID=
AA ID=",T24 Enquiry ENQ STMT.ENT.BOOK can be checked. Consolidated statement are subject of BRD,System should validate link of Transactions to Client statement output,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_01_Step 1,Verify posting of in-Branch Transfers to B2B/LBC Accounts  DR/CR FEE for the Accounts,Ensure posting of In Branch Transfers to B2B/LBC Accounts  DR/CR FEE for the Accounts,Charges defined in Product,"Account # =
Amount =
Currency =","create new FT - -
enter trx --
post trx --",System should charge fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_02_Step 1,Verify posting of Transfers to B2B/LBC Accounts from other institution transfers - DR/CR FEE for the Accounts,Ensure posting of Transfers to B2B/LBC Accounts from other institution transfers - DR/CR FEE for the Accounts,Charges defined in Product,"Account # =
Amount =
Currency =","create new FT - -
enter trx --
post trx --",System should charge fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_03_Step 1,Verify posting of B2B/LBC ATM withdrawal fee ,Ensure posting of B2B/LBC ATM withdrawal fee ,Charges defined in Product,"Account # =
Amount =
Currency =", Interface,System should display charged fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_04_Step 1,Verify posting of other banks ( different switches) ATM withdrawal fee ,Ensure posting of other banks ( different switches) ATM withdrawal fee ,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should display charged fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_05_Step 1,Verify posting of International (other country) ATM withdrawal fee ,Ensure posting of International (other country) ATM withdrawal fee ,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should display charged fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_06_Step 1,Verify posting of International (diff currency) ATM withdrawal fee ,Ensure posting of International (diff currency) ATM withdrawal fee ,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should display charged fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_07_Step 1,Verify posting of Transfer B2B/LBC account (ATM Cards) fee ,Verify posting of Transfer B2B/LBC account (ATM Cards) fee ,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should display charged fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_08_Step 1,Verify posting of Debit Card POS Purchase fee  ,Ensure posting of Debit Card POS Purchase fee  ,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should display charged fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_09_Step 1,Verify posting of Cleared Cheques fee  ,Ensure posting of Cleared Cheques fee  ,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should display charged fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_10_Step 1,Verify posting of PAP  fee  ,Ensure posting of PAP  fee  ,Charges defined in Product,"Account # =
Amount =
Currency =","create new DD - -
enter trx --
post trx --",System should charge fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_11_Step 1,Verify Certified Chq charges,Ensure Certified Chq charges,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should charge fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0047,Define multiple types of transaction and attached fees to each transaction on accounts according pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0047_12_Step 1,Verify EFT Received charges,Ensure EFT Received charges,Charges defined in Product,"Account # =
Amount =
Currency =",Product Builder/AA,System should charge fee as per product - Online / Dayend / monthly,0.0,0.0
Functional Testing\OOB\0051,Access all information on inactive accounts for pre-defined period of time,T24Qa1,Functional Testing,Positive,OOB_0051_01_Step 1,Verify that inactive accounts details can be accessed,Ensure availability of inactive account details,inactive Accounts ,"Account # =
Amount =
Currency =",Enquiry ,System should display inactive accounts upon enquiry,0.0,0.0
Functional Testing\OOB\0051,Access all information on inactive accounts for pre-defined period of time,T24Qa1,Functional Testing,Positive,OOB_0051_02_Step 1,Verify that inactive accounts time period can be pre-defined,Ensure pre-defined time period for inactive accounts,inactive Accounts ,"Account # =
Amount =
Currency =",Enquiry ,System should display inactive accounts acccording to time period,0.0,0.0
Functional Testing\OOB\0052,Parametrise restrictions and restriction labels on account and client.,T24Qa1,Functional Testing,Positive,OOB_0052_01_Step 1,Validate labeled restrictions active on Account,Ensure labeled posting restrictions are active on account,"CIF, Arrangement","CIF ID=
AA ID=",Update arrangement and apply restriction,System should give warning/error based on restriction,0.0,0.0
Functional Testing\OOB\0052,Parametrise restrictions and restriction labels on account and client.,T24Qa1,Functional Testing,Positive,OOB_0052_02_Step 1,Validate labeled restrictions active on Client,Ensure labeled posting restrictions are active on Client,"CIF, Arrangement","CIF ID=
AA ID=",Update CIF with restriction,System should give warning/error based on restriction,0.0,0.0
Functional Testing\OOB\0057,Generate statement (paper and electronic) according to multiple pre-defined parameters,T24Qa1,Functional Testing,Positive,OOB_0057_01_Step 1,Verify that online statement can be generated according to pre-set parameters,Ensure periodic statements can be displayed from enquiry,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run Statement enquiry on Arrangement,System should display online statement for Arrangement,0.0,0.0
Functional Testing\OOB\0057,Generate statement (paper and electronic) according to multiple pre-defined parameters,T24Qa1,Functional Testing,Positive,OOB_0057_02_Step 1,Verify that statement can be generated for output according to pre-set parameters,Ensure periodic statements can be generated for output,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run Statement enquiry on Arrangement - send to output,System should generate statement for printing solution,0.0,0.0
Functional Testing\OOB\0058,Convert documents in various formats ,T24Qa1,Functional Testing,Positive,OOB_0058_01_Step 1,Verify that enquiry output can be converted to Excel,Ensure conversion of enquiry statement to Excel format,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run Statement enquiry on Arrangement - send to output,System should generate excel statement for printing solution,0.0,0.0
Functional Testing\OOB\0058,Convert documents in various formats ,T24Qa1,Functional Testing,Positive,OOB_0058_02_Step 1,Verify that enquiry output can be converted to PDF,Ensure conversion of enquiry statement to PDF format,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run Statement enquiry on Arrangement - send to output,System should generate excel statement for printing solution,0.0,0.0
Functional Testing\OOB\0063,Generate pre-defined reports,T24Qa1,Functional Testing,Positive,OOB_0063_01_Step 1,Verify that report can be generated for output according to pre-set parameters,Ensure periodic reports can be generated for output,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run Statement enquiry on Arrangement - send to output,System should generate report for printing solution,0.0,0.0
Functional Testing\OOB\0066,Allow queries and generate downloadable data files based on pre-defined parameters,T24Qa1,Functional Testing,Positive,OOB_0066_01_Step 1,Verify that online Enquiry can be generated and downloaded according to pre-set parameters,Ensure downloadable file can be generated from pre-set enquiry,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run pre-set enquiry on Arrangement - send and generate downloadable file,System should give downloadable file,0.0,0.0
Functional Testing\OOB\0067,Production of reports based on account information,T24Qa1,Functional Testing,Positive,OOB_0067_01_Step 1,Verify that report can be generated for output based on account info,Ensure  report can be generated based on account info ,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run Statement enquiry on Arrangement - send to output,System should generate report for printing solution,0.0,0.0
Functional Testing\OOB\0071,Calculate interest earned on each account for tax slip preparation according to predetermined business rules,T24Qa1,Functional Testing,Positive,OOB_0071_01_Step 1,Verify that interest earned can be calculated for tax slip prep,Ensure tax slip prep is enabled by interest earned on each account,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",run interest enquiry on account,System should generate report tax slip prep,0.0,0.0
Functional Testing\OOB\0072,Allow request for statement for a date range,T24Qa1,Functional Testing,Positive,OOB_0072_01_Step 1,Verify if statement can be rquested for a date range,Ensure statement can be requested in a date range,"CIF, Arrangement","CIF ID=
AA ID=
Date Range=",Run Statement enquiry on Arrangement - send to output,System should generate statement according to date range,0.0,0.0
Functional Testing\OOB\0075,Generate end of day list and reports for reconciliation and clearing purposes,T24Qa1,Functional Testing,Positive,OOB_0075_01_Step 1,Verify if end of day report can be generated,Ensure end of day report is generated for reconciliation,CAMB Teller Module set up,"Teller ID =
Trx code=
Trx type=",Run Teller enquiry for end of day reconciliation,System should generate end of day report for reconciliation,0.0,0.0
Functional Testing\OOB\0091,Manage indicators for unclaimed account,T24Qa1,Functional Testing,Positive,OOB_0091_01_Step 1,Verify if unclaimed account indicators are available,Ensure that unclaimed account flags are indicated,"CIF, Arrangement","CIF ID=
AA ID=
",Account version enquiry,System should generate report for unclaimed account,0.0,0.0
Functional Testing\OOB\0091,Manage indicators for unclaimed account,T24Qa1,Functional Testing,Positive,OOB_0091_02_Step 1,Verify that unclaimed balance on account is transferred to internal account or central bank,Ensure that unclaimed account indicators have utility      ,"CIF, Arrangement","CIF ID=
AA ID=
",Account version enquiry,System should generate report for unclaimed account,0.0,0.0
Functional Testing\OOB\0094,Modify accounts according to pre-defined parameters and user profiles,T24Qa1,Functional Testing,Positive,OOB_0094_01_Step 1,Validate that personal account are modifiable ,Validate modification of account according to set parameters,"CIF, Arrangement ","CIF ID=
AA ID=
",Account version enquiry,System should generate report for unclaimed account,0.0,0.0
Functional Testing\OOB\0094,Modify accounts according to pre-defined parameters and user profiles,T24Qa1,Functional Testing,Positive,OOB_0094_02_Step 1,Validate that personal account are modifiable according to user profile,Validate modification of account according to user profile,"CIF, Arrangement , SMS","CIF ID=
AA ID=
User ID=","Open, update Arrangement",System should generate report for unclaimed account,0.0,0.0
Functional Testing\OOB\0094,Modify accounts according to pre-defined parameters and user profiles,T24Qa1,Functional Testing,Positive,OOB_0094_03_Step 1,Validate that non-personal account are modifiable ,Validate modification of account according to set parameters,"CIF, Arrangement ","CIF ID=
AA ID=
","Open, update Arrangement",System should generate report for unclaimed account,0.0,0.0
Functional Testing\OOB\0094,Modify accounts according to pre-defined parameters and user profiles,T24Qa1,Functional Testing,Positive,OOB_0094_04_Step 1,Validate that non-personal account are modifiable according to user profile,Validate modification of account according to user profile,"CIF, Arrangement , SMS","CIF ID=
AA ID=
User ID=","Open, update Arrangement",System should generate report for unclaimed account,0.0,0.0
Functional Testing\OOB\0095,Allow reactivation of inactive accounts based on pre-defined business rules,T24Qa1,Functional Testing,Negative,OOB_0095_01_Step 1,Verify if inactive accounts can be activated by system initiated activity-charge fee,Ensure system initiated activity do not reactivate account,"CIF, Arrangement","CIF ID=
AA ID=
",Inactivity Enquiry-Account Version,System should not allow reactivation,0.0,0.0
Functional Testing\OOB\0095,Allow reactivation of inactive accounts based on pre-defined business rules,T24Qa1,Functional Testing,Negative,OOB_0095_02_Step 1,Verify if inactive accounts can be activated by customer initiated activity-pay check without warning,Ensure customer initiated activity do not reactivate account without warning,"CIF, Arrangement, Account reactivation rule","CIF ID=
AA ID=
",Inactivity Enquiry-Account Version,System should not reactivate account ,0.0,0.0
Functional Testing\OOB\0095,Allow reactivation of inactive accounts based on pre-defined business rules,T24Qa1,Functional Testing,Positive,OOB_0095_03_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Ensure user initiated activity reactivate account according to pre-defined rule,"CIF, Arrangement, Account reactivation rule","CIF ID=
AA ID=
",Inactivity Enquiry-Account Version,System should reactivate account,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_01_Step 1,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Customer (CIF) level - Dr Restriction,"CIF Created
Multiple AA Arrangements under one CIF 
Balance in Account","CIF No
Type of restriction","Navigate to Customer restriction Version
",System should allow to mark Dr restriction on CIF level,0.0,0.0
Functional Testing\OOB\0096,Manage account and client restrictions,T24Qa1,Functional Testing,Positive,OOB_0096_01_Step 2,Verify if inactive accounts can be activated after user initiated activity - reactivation,Set Posting Restrict on Customer (CIF) level - Dr Restriction,"CIF Created
Multiple AA Arrangements under one CIF 
Balance in Account","CIF No
Type of restriction",Input required data and select Dr restriction,System should allow to mark Dr restriction on CIF level,0.0,0.0
